Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume
2015-01-02,24.80592739,24.81706279,23.90624188,24.34717751,212818400
2015-01-05,24.11556479,24.19573487,23.47420585,23.66126823,257142000
2015-01-06,23.72585015,23.92404793,23.30050323,23.66349602,263188400
2015-01-07,23.87282919,24.0955235,23.76148203,23.99531174,160423600
2015-01-08,24.32490085,24.97516784,24.20687143,24.91726685,237458000
2015-01-09,25.09096807,25.22013118,24.54314026,24.94399071,214798000
2015-01-12,25.075375,25.08205555,24.22913777,24.32934952,198603200
2015-01-13,24.81482812,25.11991995,24.25363918,24.54536819,268367600
2015-01-14,24.28258938,24.60549547,24.16233424,24.45183754,195826400
2015-01-15,24.49637407,24.50973519,23.75257589,23.7882061,240056000
2015-01-16,23.83496911,23.95745165,23.42743816,23.60336685,314053200
2015-01-20,24.0153583,24.267004,23.71694868,24.21133041,199599600
2015-01-21,24.26254219,24.73242728,24.11111001,24.39616013,194303600
2015-01-22,24.55428173,25.04643609,24.43402657,25.03084755,215185600
2015-01-23,25.00857715,25.33148329,24.83710154,25.16000938,185859200
2015-01-26,25.32925175,25.46732285,25.11992025,25.18672752,222460000
2015-01-27,25.0352963,25.04865911,24.28036265,24.30485916,382274800
2015-01-28,26.19553338,26.30465482,25.6788826,25.6788826,585908400
2015-01-29,25.90381111,26.54294461,25.7345629,26.47836304,337745600
2015-01-30,26.36700848,26.72331907,26.0218316,26.090868,334982000
2015-02-02,26.28907432,26.53849096,25.85036608,26.41823578,250956400
2015-02-03,26.38927161,26.52066041,26.19107384,26.42267609,207662800
2015-02-04,26.38927456,26.83689058,26.3469621,26.62532997,280598800
2015-02-05,26.83325512,26.88020699,26.6611045,26.81537056,168984800
2015-02-06,26.83326121,26.88468381,26.48225127,26.58956718,174826400
2015-02-09,26.5046074,26.79301536,26.47777799,26.76618767,155559200
2015-02-10,26.86678927,27.30946493,26.86455477,27.28039932,248034000
2015-02-11,27.44807932,27.92876201,27.38771531,27.91981888,294247200
2015-02-12,28.18363405,28.50110925,28.07408367,28.27306366,297898000
2015-02-13,28.45639609,28.45639609,28.09197239,28.41168213,217088800
2015-02-17,28.5033509,28.81411926,28.37591422,28.57936668,252609600
2015-02-18,28.53464752,28.79175705,28.49440428,28.7783432,179566800
2015-02-19,28.72468254,28.84764848,28.69114793,28.71797562,149449600
2015-02-20,28.75598277,28.95272827,28.62854783,28.95272827,195793600
2015-02-23,29.0689955,29.73524284,28.98850899,29.73524284,283896400
2015-02-24,29.72182158,29.86938071,29.32609607,29.54966927,276912400
2015-02-25,29.41328591,29.42223075,28.65090058,28.79398727,298846800
2015-02-26,28.7939951,29.25902784,28.30660709,29.15842056,365150000
2015-02-27,29.06451993,29.19195831,28.67103227,28.72021866,248059200
2015-03-02,28.89684317,29.12712335,28.68444926,28.86107063,192386800
2015-03-03,28.83200837,28.95720885,28.63749732,28.92143631,151265200
2015-03-04,28.86330392,28.96614569,28.68891708,28.73810005,126665200
2015-03-05,28.74704775,28.78505479,28.11657128,28.26189423,226068400
2015-03-06,28.70680168,28.92366798,28.2283568,28.30437088,291368400
2015-03-09,28.60842839,28.96838311,27.96006572,28.42509842,354114000
2015-03-10,28.26189042,28.44298418,27.67836421,27.83710098,275426400
2015-03-11,27.89075521,27.89522592,27.30052213,27.32958603,275756000
2015-03-12,27.34523817,27.92429366,27.19320832,27.82368469,193450800
2015-03-13,27.81250797,28.03608118,27.40560479,27.63141251,207309200
2015-03-16,27.69625489,27.93547821,27.47044713,27.93547821,143497200
2015-03-17,28.14786905,28.46534262,28.09197574,28.40274239,204092400
2015-03-18,28.39379925,28.87671823,28.25294874,28.72245216,261083600
2015-03-19,28.78505509,28.89684171,28.48323155,28.50558853,183238000
2015-03-20,28.67326779,28.70680241,27.9824273,28.14787102,274780400
2015-03-23,28.42063126,28.58383877,28.28648595,28.44075203,150838800
2015-03-24,28.44522316,28.62631523,28.2954278,28.32449341,131369200
2015-03-25,28.29095727,28.3535575,27.58446503,27.58446503,206620800
2015-03-26,27.44584979,27.91982394,27.41007726,27.77673721,190291600
2015-03-27,27.85051552,27.87957942,27.47938487,27.55539894,158184800
2015-03-30,27.73425334,28.25964996,27.72307399,28.25294304,188398800
2015-03-31,28.19034643,28.27977606,27.80356572,27.81921577,168362400
2015-04-01,27.90641313,27.97348578,27.52186686,27.77897644,162485600
2015-04-02,27.95335967,28.0718532,27.76555898,28.01819611,128880400
2015-04-06,27.82815944,28.50782225,27.79685933,28.47204971,148776000
2015-04-07,28.5368862,28.6442004,28.16575554,28.17246246,140049200
2015-04-08,28.13668286,28.25964878,27.93993908,28.08078957,149316800
2015-04-09,28.13669053,28.29989974,27.87063955,28.29542732,129936000
2015-04-10,28.15904722,28.44074996,28.00478285,28.41615677,160752000
2015-04-13,28.70008666,28.74480403,28.30659911,28.3602562,145460400
2015-04-14,28.3937957,28.45863214,28.15010174,28.23729515,102098400
2015-04-15,28.26189302,28.42286432,28.17246339,28.34461403,115881600
2015-04-16,28.23282225,28.4161522,28.19481522,28.20822906,113476000
2015-04-17,28.06961969,28.20152707,27.82592398,27.89076042,207828000
2015-04-20,28.07408741,28.64419807,27.98465779,28.52794075,188217200
2015-04-21,28.63973089,28.66208616,28.32001941,28.37367821,129740400
2015-04-22,28.39156719,28.8118843,28.24177352,28.75599098,150618000
2015-04-23,28.68445314,29.15842742,28.6486806,28.99074745,183083600
2015-04-24,29.17407476,29.20537488,28.89237028,29.12712288,178103600
2015-04-27,29.58098358,29.76431532,29.32163772,29.65699768,387816800
2015-04-28,30.06166172,30.07954458,28.96838863,29.18972397,475696000
2015-04-29,29.1002883,29.41999634,28.68444202,28.76045609,253544400
2015-04-30,28.76046038,28.76046038,27.8527536,27.98019028,332781600
2015-05-01,28.19258573,29.09358734,28.01372816,28.82976913,234050400
2015-05-04,28.95273739,29.19196242,28.67550532,28.7738781,203953200
2015-05-05,28.65090812,28.71798077,28.12104066,28.12551308,197085600
2015-05-06,28.29542818,28.33790764,27.57999451,27.94889069,288564000
2015-05-07,28.011744,28.30584941,27.84336372,28.12175369,175763600
2015-05-08,28.44055696,28.65159416,28.31258799,28.65159416,222201600
2015-05-11,28.59996955,28.63813536,28.20483643,28.35974693,168143200
2015-05-12,28.19809298,28.48546181,28.02297771,28.25871086,192640000
2015-05-13,28.32157101,28.5550586,28.2587093,28.29014015,138776800
2015-05-14,28.60445205,28.9501915,28.54832527,28.9501915,180814000
2015-05-15,28.97713523,29.07142781,28.78405897,28.90978241,152832000
2015-05-18,28.82222128,29.34756705,28.81773018,29.22857857,203531600
2015-05-19,29.34083248,29.38348937,29.10509934,29.20163918,178532800
2015-05-20,29.18592435,29.40594036,29.03774883,29.19939423,145819600
2015-05-21,29.20164582,29.55187642,29.14776287,29.49799347,158921600
2015-05-22,29.54514026,29.85271394,29.50023609,29.75617409,182384000
2015-05-26,29.7696483,29.83924496,28.98836098,29.10061455,282790400
2015-05-27,29.26225568,29.69330892,29.19715013,29.64391708,183332800
2015-05-28,29.60349984,29.62370465,29.43287571,29.58553886,122933200
2015-05-29,29.46206224,29.51145407,29.16346742,29.2487812,203538000
2015-06-01,29.24878309,29.4979861,29.19714742,29.3071537,128451200
2015-06-02,29.15448884,29.33409519,29.03325653,29.17694092,134670400
2015-06-03,29.33409968,29.3969614,29.16347208,29.21286392,123934000
2015-06-04,29.09163389,29.31614102,28.94121453,29.04224205,153800400
2015-06-05,29.07366778,29.11632468,28.81772984,28.88283539,142507200
2015-06-08,28.93896666,29.00856674,28.4742387,28.69201088,210699200
2015-06-09,28.44504599,28.75486685,28.20257965,28.60669136,224301600
2015-06-10,28.71894663,29.03774629,28.7032312,28.93447495,156349200
2015-06-11,29.00183172,29.22633886,28.8446774,28.86937332,141563600
2015-06-12,28.77956967,28.81100054,28.53710156,28.55057144,147544800
2015-06-15,28.31035001,28.56628802,28.22279237,28.4944458,175955600
2015-06-16,28.51913529,28.70323104,28.3709615,28.64710426,125976400
2015-06-17,28.67404262,28.70996286,28.45402494,28.57975006,131672400
2015-06-18,28.56403462,28.80650095,28.56178907,28.70996284,141628800
2015-06-19,28.67180475,28.69650067,28.37770096,28.4226017,218867600
2015-06-22,28.62240965,28.75037863,28.53036263,28.64935112,136157200
2015-06-23,28.62016374,28.64934904,28.48545812,28.51913452,121075600
2015-06-24,28.55954947,29.14102378,28.53934466,28.76160622,221123600
2015-06-25,28.92998649,29.00631808,28.62465668,28.62465668,127752400
2015-06-26,28.66281823,28.73466042,28.40239091,28.45627213,176267200
2015-06-29,28.16666025,28.39341289,27.94664425,27.95786858,196645600
2015-06-30,28.19135823,28.31483782,28.03195838,28.15992737,177482800
2015-07-01,28.48995452,28.49893501,28.28565222,28.4226017,120955200
2015-07-02,28.38444077,28.44281312,28.23626522,28.38668633,108844000
2015-07-06,28.04991822,28.33953259,28.02971169,28.2878952,112241600
2015-07-07,28.26319487,28.32156719,27.78723927,28.21829414,187787200
2015-07-08,27.94664694,27.98256719,27.51110258,27.51783752,243046400
2015-07-09,27.80520434,27.85235062,26.76573707,26.95656776,314380000
2015-07-10,27.37639596,27.80520363,27.21250503,27.67723465,245418000
2015-07-13,28.07012444,28.23401539,27.91072459,28.21156502,165762000
2015-07-14,28.29687649,28.37096425,28.07236938,28.20033836,127072400
2015-07-15,28.22504068,28.54608599,28.19360981,28.47199821,134596800
2015-07-16,28.67853259,28.86487558,28.59097497,28.85140228,144889600
2015-07-17,28.9793822,29.10061455,28.80651074,29.10061455,184658800
2015-07-20,29.40369845,29.8527127,29.34308056,29.65065765,235600800
2015-07-21,29.82577545,29.84148917,29.25777265,29.35430908,307025600
2015-07-22,27.38762464,28.17564516,27.38762464,28.11278343,461802400
2015-07-23,28.33279003,28.53260118,28.07685212,28.0993042,203998000
2015-07-24,28.1352314,28.22952398,27.81643171,27.95113564,168649200
2015-07-27,27.6345768,27.75132145,27.41680637,27.5627346,177822000
2015-07-28,27.69968605,27.81867626,27.51334645,27.69968605,134472400
