Date,SP500.Open,SP500.High,SP500.Low,SP500.Close,SP500.Volume
2015-01-02,206.38,206.88,204.18,205.43,121465865
2015-01-05,204.17,204.37,201.35,201.72,169632650
2015-01-06,202.09,202.72,198.855,199.82,209151410
2015-01-07,201.42,202.72,200.88,202.31,125346709
2015-01-08,204.01,206.16,203.99,205.9,147217780
2015-01-09,206.4,206.42,203.51,204.25,158567290
2015-01-12,204.41,204.6,201.92,202.65,144396070
2015-01-13,204.12,205.48,200.51,202.08,214553310
2015-01-14,199.65,201.1,198.57,200.86,192991090
2015-01-15,201.63,202.01,198.88,199.0199,176613910
2015-01-16,198.77,201.82,198.55,201.63,211879610
2015-01-20,202.4,202.72,200.17,202.055,130991069
2015-01-21,201.5,203.66,200.94,203.08,122942707
2015-01-22,203.99,206.26,202.33,206.1,174356030
2015-01-23,205.79,206.1,204.81,204.97,117516753
2015-01-26,204.71,205.56,203.85,205.45,92009711
2015-01-27,202.97,204.12,201.74,202.74,134044598
2015-01-28,204.17,204.29,199.91,200.14,168514310
2015-01-29,200.38,202.3,198.68,201.9902,173585420
2015-01-30,200.57,202.17,199.13,199.45,197729720
2015-02-02,200.05,202.03,197.86,201.92,163106970
2015-02-03,203.0,204.85,202.55,204.84,124212881
2015-02-04,203.92,205.38,203.51,204.06,134306730
2015-02-05,204.86,206.3,204.77,206.12,97953181
2015-02-06,206.56,207.24,204.92,205.55,125672026
2015-02-09,204.77,205.64,204.135,204.63,87219016
2015-02-10,205.88,207.12,204.6801,206.81,96164183
2015-02-11,206.61,207.45,205.83,206.93,91087785
2015-02-12,207.89,208.99,206.9727,208.92,97545949
2015-02-13,209.07,209.84,208.76,209.78,93670430
2015-02-17,209.4,210.32,209.1,210.11,76968199
2015-02-18,209.66,210.22,209.3401,210.13,80652941
2015-02-19,209.41,210.42,209.24,209.98,91462491
2015-02-20,209.48,211.33,208.73,211.239,140896390
2015-02-23,210.94,211.21,210.48,211.209,74411054
2015-02-24,211.12,212.05,210.76,211.81,72472263
2015-02-25,211.66,212.24,211.22,211.63,73061687
2015-02-26,211.52,211.71,210.65,211.38,72697868
2015-02-27,211.26,211.58,210.6,210.66,108075972
2015-03-02,210.78,212.06,210.72,211.99,87491428
2015-03-03,211.47,212.054,210.08,211.12,110325809
2015-03-04,210.4,210.49,209.06,210.2301,114497192
2015-03-05,210.62,210.8,209.85,210.46,76872957
2015-03-06,209.42,209.94,207.1,207.5,188127980
2015-03-09,207.74,208.79,207.5459,208.36,89818893
2015-03-10,206.71,206.81,204.93,204.98,157121260
2015-03-11,205.29,205.5,204.4,204.5,110145718
2015-03-12,205.26,207.175,205.2,207.1,93993523
2015-03-13,206.77,207.9338,204.58,205.8272,162410890
2015-03-16,206.71,208.69,205.8641,208.58,136099190
2015-03-17,207.69,208.42,206.98,207.96,94510422
2015-03-18,207.39,211.27,206.62,210.46,228808520
2015-03-19,209.96,210.4697,209.03,209.5,117917302
2015-03-20,209.71,211.02,209.4903,210.41,177715080
2015-03-23,210.42,211.11,210.0,210.0,71784536
2015-03-24,209.85,210.4,208.74,208.82,77805321
2015-03-25,209.07,209.35,205.71,205.76,159521710
2015-03-26,204.96,206.37,204.12,205.27,153067240
2015-03-27,205.13,205.95,204.9,205.74,118938966
2015-03-30,206.98,208.61,206.96,208.25,96180365
2015-03-31,207.26,208.1,206.36,206.43,126768703
2015-04-01,206.39,206.42,204.51,205.7,137303580
2015-04-02,205.62,206.98,205.4,206.435,86900906
2015-04-06,205.37,208.45,205.21,207.83,114368155
2015-04-07,207.855,208.76,207.24,207.28,81236337
2015-04-08,207.55,208.51,207.08,207.975,89351939
2015-04-09,207.78,209.18,207.19,208.9,85548854
2015-04-10,209.2,210.09,208.96,210.04,72722915
2015-04-13,209.87,210.63,209.03,209.09,74436594
2015-04-14,208.85,209.71,208.1,209.49,75099866
2015-04-15,210.05,211.04,209.95,210.43,99529320
2015-04-16,210.03,210.98,209.7928,210.37,68934864
2015-04-17,208.94,209.23,207.01,207.95,191113230
2015-04-20,209.06,210.25,208.96,209.85,92189481
2015-04-21,210.67,210.86,209.24,209.6,72559831
2015-04-22,210.01,210.85,208.9,210.63,78264616
2015-04-23,210.15,211.94,210.01,211.16,102585942
2015-04-24,211.66,211.97,211.11,211.6499,61327387
2015-04-27,212.33,212.48,210.54,210.77,79358126
2015-04-28,210.74,211.5,209.3301,211.44,86863531
2015-04-29,210.37,211.29,209.6,210.57,125684903
2015-04-30,209.88,210.35,207.62,208.46,161304890
2015-05-01,209.4,210.77,209.28,210.72,103399711
2015-05-04,211.23,212.02,211.1,211.32,70927235
2015-05-05,211.03,211.46,208.73,208.9,113326156
2015-05-06,209.56,209.93,206.76,208.04,135060150
2015-05-07,207.92,209.38,207.52,208.87,88244940
2015-05-08,210.88,211.86,210.78,211.62,155877260
2015-05-11,211.57,211.89,210.52,210.605,75708065
2015-05-12,209.61,210.63,208.62,209.98,119727592
2015-05-13,210.47,211.22,209.74,210.02,94667943
2015-05-14,211.24,212.32,210.91,212.21,95934006
2015-05-15,212.44,212.61,211.86,212.44,76510099
2015-05-18,212.24,213.4,212.16,213.1,74549685
2015-05-19,213.24,213.57,212.69,213.03,72114610
2015-05-20,213.15,213.78,212.504,212.88,76857530
2015-05-21,212.71,213.75,212.51,213.5,64764585
2015-05-22,213.04,213.54,212.91,212.99,57433495
2015-05-26,212.4,212.9089,210.2,210.7,124308584
2015-05-27,211.25,212.98,210.7612,212.7,93213981
2015-05-28,212.33,212.59,211.63,212.46,74974560
2015-05-29,212.38,212.43,210.82,211.14,124919611
2015-06-01,211.94,212.34,210.62,211.57,93338750
2015-06-02,211.02,212.19,210.27,211.36,91531012
2015-06-03,212.0,212.67,211.3301,211.92,87820909
2015-06-04,211.07,211.859,209.75,210.1292,151882820
2015-06-05,209.95,210.58,208.98,209.77,121704676
2015-06-08,209.64,209.82,208.39,208.48,89063330
2015-06-09,208.45,209.1,207.69,208.45,105034690
2015-06-10,209.37,211.41,209.2987,210.95,134551290
2015-06-11,211.48,212.09,211.2,211.63,73876447
2015-06-12,210.64,211.482,209.68,210.01,135382370
2015-06-15,208.64,209.45,207.79,209.11,124384184
2015-06-16,208.93,210.35,208.72,210.25,85308227
2015-06-17,210.59,211.32,209.36,210.59,126708635
2015-06-18,211.31,213.34,210.6315,212.78,165867950
2015-06-19,211.46,211.55,210.36,210.81,130478689
2015-06-22,211.905,212.59,211.64,211.89,70696027
2015-06-23,212.14,212.44,211.57,212.04,68476797
2015-06-24,211.72,212.17,210.47,210.5,92307318
2015-06-25,211.1,211.25,209.77,209.86,97107361
2015-06-26,210.29,210.58,209.16,209.82,104174840
2015-06-29,208.045,208.828,205.33,205.42,202621330
2015-06-30,207.26,207.32,205.28,205.85,182925110
2015-07-01,207.73,208.03,206.56,207.5,135979870
2015-07-02,208.07,208.27,206.81,207.31,104373652
2015-07-06,205.77,207.65,205.53,206.72,117975369
2015-07-07,206.96,208.17,204.11,208.02,173820250
2015-07-08,206.42,206.7645,204.25,204.53,159357210
2015-07-09,207.04,207.35,204.77,204.9,144113110
2015-07-10,207.29,207.98,206.49,207.48,129456890
2015-07-13,208.99,209.9,208.94,209.77,106069400
2015-07-14,209.72,211.05,209.65,210.68,81709575
2015-07-15,210.73,211.28,210.04,210.61,97914141
2015-07-16,211.87,212.3,211.58,212.3,106683266
2015-07-17,212.29,212.55,211.8,212.48,89029973
2015-07-20,212.75,213.18,212.21,212.59,70446821
2015-07-21,212.43,212.74,211.39,211.75,77965048
2015-07-22,210.93,211.77,210.89,211.37,88667920
2015-07-23,211.53,211.65,209.75,210.18,90509128
2015-07-24,210.3,210.37,207.6,208.0,117754979
2015-07-27,206.94,207.55,206.26,206.79,132361082
2015-07-28,207.79,209.5,206.8,209.33,123544845
2015-07-29,209.48,211.04,209.31,210.77,105791255
2015-07-30,210.16,211.02,209.42,210.82,91304374
2015-07-31,211.42,211.45,210.16,210.5,103266857
2015-08-03,210.46,210.53,208.65,209.79,113965728
2015-08-04,209.7,210.2483,208.8,209.38,81820823
2015-08-05,210.45,211.31,209.73,210.07,85786817
2015-08-06,210.29,210.415,207.65,208.35,116030803
2015-08-07,208.16,208.34,206.87,207.95,117857956
2015-08-10,209.28,210.67,209.28,210.57,80270676
2015-08-11,208.97,209.47,207.76,208.67,126081377
2015-08-12,207.11,209.14,205.36,208.92,172123670
2015-08-13,208.73,209.55,208.01,208.66,89383253
2015-08-14,208.43,209.5087,208.26,209.42,72786528
2015-08-17,208.71,210.59,208.16,210.59,79072643
2015-08-18,210.26,210.68,209.699,209.98,71692678
2015-08-19,209.09,210.01,207.35,208.32,172945980
2015-08-20,206.51,208.2865,203.9,203.97,194327880
2015-08-21,201.73,203.9404,197.52,197.63,346588470
2015-08-24,187.49,197.4772,182.4,189.55,507244330
2015-08-25,195.43,195.45,186.92,187.27,369833070
2015-08-26,192.08,194.79,188.37,194.46,339256990
2015-08-27,197.02,199.42,195.21,199.27,274143910
2015-08-28,198.5,199.835,197.92,199.28,160414350
2015-08-31,198.11,199.125,197.01,197.67,163298820
2015-09-01,193.12,194.77,190.73,191.77,256000390
2015-09-02,194.62,195.46,192.42,195.41,160269330
2015-09-03,196.26,198.05,194.96,195.55,152087840
2015-09-04,192.85,193.86,191.61,192.59,207080960
2015-09-08,195.94,197.61,195.17,197.43,116025739
2015-09-09,199.32,199.47,194.35,194.79,149347740
2015-09-10,194.56,197.22,194.25,195.85,158611060
2015-09-11,195.375,196.82,194.53,196.74,119691212
2015-09-14,196.95,197.01,195.43,196.01,79451983
2015-09-15,196.61,198.99,195.9612,198.46,113806176
2015-09-16,198.82,200.41,198.41,200.18,99581557
2015-09-17,200.02,202.89,199.28,199.73,276046620
2015-09-18,195.71,198.6844,194.96,195.45,223657460
2015-09-21,196.44,197.68,195.21,196.46,105726209
2015-09-22,193.88,194.46,192.56,193.91,153890880
2015-09-23,194.11,194.67,192.91,193.6,92790620
2015-09-24,192.15,193.45,190.56,192.9,159378840
2015-09-25,194.64,195.0,191.81,192.85,155054780
2015-09-28,191.78,191.91,187.64,188.01,178515870
2015-09-29,188.27,189.74,186.93,188.12,159045570
2015-09-30,190.37,191.825,189.44,191.63,163452040
2015-10-01,192.08,192.49,189.82,192.13,131078964
2015-10-02,189.77,195.03,189.12,195.0,211003340
2015-10-05,196.46,198.74,196.33,198.47,126320842
2015-10-06,198.31,198.98,197.0,197.79,110274530
2015-10-07,198.9,199.825,197.48,199.41,124307295
2015-10-08,198.95,201.55,198.59,201.21,153055230
2015-10-09,201.38,201.9,200.58,201.33,107069240
2015-10-12,201.42,201.76,200.91,201.52,56395585
2015-10-13,200.65,202.16,200.05,200.25,88038718
2015-10-14,200.18,200.87,198.94,199.29,99106161
2015-10-15,200.08,202.36,199.64,202.35,134142195
2015-10-16,202.83,203.29,201.92,203.27,114580052
2015-10-19,202.5,203.37,202.13,203.37,76523897
2015-10-20,202.85,203.84,202.5471,203.09,78448484
2015-10-21,203.61,203.79,201.65,201.85,102038033
2015-10-22,202.98,205.51,201.85,205.26,174911720
2015-10-23,207.25,207.95,206.3,207.51,144442340
2015-10-26,207.3,207.37,206.56,207.0,69032965
2015-10-27,206.2,207.0,205.79,206.6,77905770
2015-10-28,207.0,208.98,206.21,208.95,135906730
2015-10-29,208.35,209.27,208.21,208.83,90525498
2015-10-30,209.06,209.44,207.74,207.93,131076942
2015-11-02,208.32,210.62,208.17,210.39,86270811
2015-11-03,209.97,211.66,209.7,211.0,95246052
2015-11-04,211.35,211.5,209.7201,210.36,96224477
2015-11-05,210.43,210.98,209.09,210.15,78408744
2015-11-06,209.74,210.32,208.46,210.04,110471473
2015-11-09,209.31,209.49,206.95,208.08,131008660
2015-11-10,207.51,208.6,207.19,208.56,75874602
2015-11-11,208.88,208.94,207.66,207.74,67845971
